Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-10,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,1.3,1.3,53,10714,Steve Cook,3-4-3,Kevin Friend,Match Report,
2019-08-17,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,1.6,2.0,37,40996,Steve Cook,4-4-1-1,Martin Atkinson,Match Report,
2019-08-25,14:00 (21:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,2.2,3.0,26,10486,Steve Cook,5-4-1,Andre Marriner,Match Report,
2019-08-28,19:45 (02:45),EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,,,74,9657,Andrew Surman,4-4-2,Dean Whitestone,Match Report,Bournemouth won on penalty kicks following extra time
2019-08-31,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,0.6,2.0,45,31613,Steve Cook,4-4-2,Peter Bankes,Match Report,
2019-09-15,14:00 (21:00),Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,1.4,1.5,41,10416,Steve Cook,4-4-2,Paul Tierney,Match Report,
2019-09-20,20:00 (03:00),Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,1.2,2.5,35,30168,Steve Cook,4-4-2,Chris Kavanagh,Match Report,
2019-09-25,19:45 (02:45),EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,,,67,2505,Simon Francis,4-2-3-1,John Busby,Match Report,
2019-09-28,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,1.9,1.6,50,10729,Steve Cook,4-4-2,Stuart Attwell,Match Report,
2019-10-06,14:00 (21:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.6,1.2,47,60326,Steve Cook,4-4-2,Martin Atkinson,Match Report,
2019-10-19,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,D,0,0,Norwich City,0.7,0.4,48,10669,Steve Cook,4-4-2,Lee Mason,Match Report,
2019-10-26,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,D,0,0,Watford,1.0,0.8,59,20821,Steve Cook,4-4-2,Mike Dean,Match Report,
2019-11-02,12:30 (20:30),Premier League,Matchweek 11,Sat,Home,W,1,0,Manchester Utd,1.9,0.8,43,10669,Steve Cook,4-4-2,Chris Kavanagh,Match Report,
2019-11-09,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,1.8,2.4,65,44424,Steve Cook,4-4-2,Martin Atkinson,Match Report,
2019-11-23,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,L,1,2,Wolves,0.6,1.1,47,10539,Simon Francis,3-4-3,Simon Hooper,Match Report,
2019-11-30,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,L,2,3,Tottenham,1.1,2.3,48,59626,Steve Cook,4-4-2,Lee Mason,Match Report,
2019-12-03,19:30 (03:30),Premier League,Matchweek 15,Tue,Away,L,0,1,Crystal Palace,0.4,0.3,68,23497,Nathan Aké,4-4-2,Anthony Taylor,Match Report,
2019-12-07,15:00 (23:00),Premier League,Matchweek 16,Sat,Home,L,0,3,Liverpool,0.1,2.4,27,10832,Simon Francis,4-4-2,Chris Kavanagh,Match Report,
2019-12-14,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,W,1,0,Chelsea,1.0,2.1,34,40243,Simon Francis,4-5-1,Graham Scott,Match Report,
2019-12-21,15:00 (23:00),Premier League,Matchweek 18,Sat,Home,L,0,1,Burnley,0.1,0.2,63,10020,Simon Francis,4-5-1,Martin Atkinson,Match Report,
2019-12-26,15:00 (23:00),Premier League,Matchweek 19,Thu,Home,D,1,1,Arsenal,2.0,1.4,40,10234,Steve Cook,4-5-1,Stuart Attwell,Match Report,
2019-12-28,12:30 (20:30),Premier League,Matchweek 20,Sat,Away,L,0,2,Brighton,0.5,0.8,45,30441,Steve Cook,4-4-2,Paul Tierney,Match Report,
2020-01-01,17:30 (01:30),Premier League,Matchweek 21,Wed,Away,L,0,4,West Ham,0.6,2.4,57,59917,Simon Francis,4-3-3,Graham Scott,Match Report,
2020-01-04,17:31 (01:31),FA Cup,Third round,Sat,Home,W,4,0,Luton Town,,,64,10064,Simon Francis,4-4-1-1,Darren England,Match Report,
2020-01-12,14:00 (22:00),Premier League,Matchweek 22,Sun,Home,L,0,3,Watford,0.4,2.0,57,10384,Simon Francis,4-4-2,Mike Dean,Match Report,
2020-01-18,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,L,0,1,Norwich City,0.7,1.8,35,26781,Steve Cook,4-3-3,Paul Tierney,Match Report,
2020-01-21,19:30 (03:30),Premier League,Matchweek 24,Tue,Home,W,3,1,Brighton,1.4,1.8,34,10065,Simon Francis,4-4-1-1,Kevin Friend,Match Report,
2020-01-27,20:00 (04:00),FA Cup,Fourth round,Mon,Home,L,1,2,Arsenal,,,40,10308,Andrew Surman,4-4-1-1,Martin Atkinson,Match Report,
2020-02-01,15:00 (23:00),Premier League,Matchweek 25,Sat,Home,W,2,1,Aston Villa,2.2,1.7,40,10722,Simon Francis,4-3-3,Anthony Taylor,Match Report,
2020-02-09,14:00 (22:00),Premier League,Matchweek 26,Sun,Away,L,1,2,Sheffield Utd,1.4,1.9,45,30361,Simon Francis,4-5-1,Jonathan Moss,Match Report,
2020-02-22,15:00 (23:00),Premier League,Matchweek 27,Sat,Away,L,0,3,Burnley,1.8,3.2,58,18227,Simon Francis,4-3-3,Mike Dean,Match Report,
2020-02-29,15:00 (23:00),Premier League,Matchweek 28,Sat,Home,D,2,2,Chelsea,1.4,1.9,27,10667,Steve Cook,4-3-3,Andre Marriner,Match Report,
2020-03-07,12:30 (20:30),Premier League,Matchweek 29,Sat,Away,L,1,2,Liverpool,1.4,1.8,26,53323,Steve Cook,4-1-4-1,Paul Tierney,Match Report,
2020-06-20,19:45 (02:45),Premier League,Matchweek 30,Sat,Home,L,0,2,Crystal Palace,0.5,0.8,58,,Steve Cook,4-1-4-1,Stuart Attwell,Match Report,
2020-06-24,18:00 (01:00),Premier League,Matchweek 31,Wed,Away,L,0,1,Wolves,0.1,1.7,46,,Steve Cook,4-5-1,Michael Oliver,Match Report,
2020-07-01,18:00 (01:00),Premier League,Matchweek 32,Wed,Home,L,1,4,Newcastle Utd,1.6,1.8,55,,Steve Cook,4-4-2,Kevin Friend,Match Report,
2020-07-04,15:00 (22:00),Premier League,Matchweek 33,Sat,Away,L,2,5,Manchester Utd,1.8,2.5,32,,Nathan Aké,4-4-2,Mike Dean,Match Report,
2020-07-09,18:00 (01:00),Premier League,Matchweek 34,Thu,Home,D,0,0,Tottenham,1.4,0.5,37,,Nathan Aké,4-4-2,Paul Tierney,Match Report,
2020-07-12,19:00 (02:00),Premier League,Matchweek 35,Sun,Home,W,4,1,Leicester City,2.5,1.5,44,,Nathan Aké,4-4-2,Stuart Attwell,Match Report,
2020-07-15,18:00 (01:00),Premier League,Matchweek 36,Wed,Away,L,1,2,Manchester City,1.6,0.7,29,,Steve Cook,4-1-4-1,Lee Mason,Match Report,
2020-07-19,14:00 (21:00),Premier League,Matchweek 37,Sun,Home,L,0,2,Southampton,0.5,2.5,44,,Steve Cook,4-4-2,Craig Pawson,Match Report,
2020-07-26,16:00 (23:00),Premier League,Matchweek 38,Sun,Away,W,3,1,Everton,1.5,1.7,31,,Steve Cook,4-4-2,Chris Kavanagh,Match Report,
